Zipcode,Income 50-74K,Income 75-100K,High School Diploma,Bachelor's Degree,Non Poverty Family,Poverty Family
67664,0.0,0.0,77.0,69.0,56.0,0.0
67673,0.0,0.0,14.0,8.0,9.0,11.0
67731,0.0,0.0,114.0,131.0,86.0,3.0
67732,0.0,0.0,66.0,86.0,45.0,0.0
67734,0.0,0.0,47.0,27.0,45.0,4.0
67735,64.0,0.0,1180.0,503.0,407.0,99.0
67749,0.0,0.0,474.0,308.0,165.0,31.0
67663,0.0,2.0,533.0,254.0,214.0,29.0
67737,0.0,0.0,101.0,58.0,54.0,0.0
67209,0.0,0.0,2106.0,2040.0,1185.0,0.0
67212,0.0,0.0,6129.0,7186.0,4385.0,280.0
67220,0.0,0.0,1447.0,2124.0,1191.0,73.0
67226,17.0,0.0,1490.0,4408.0,1666.0,50.0
67230,56.0,23.0,893.0,2911.0,1515.0,197.0
67330,0.0,0.0,305.0,125.0,164.0,4.0
67346,7.0,0.0,93.0,50.0,12.0,0.0
67353,0.0,0.0,133.0,46.0,60.0,3.0
67360,0.0,0.0,79.0,18.0,16.0,1.0
67420,0.0,0.0,890.0,522.0,483.0,14.0
67437,0.0,0.0,248.0,108.0,80.0,0.0
67439,0.0,0.0,646.0,328.0,166.0,0.0
67444,0.0,0.0,130.0,75.0,67.0,0.0
67447,0.0,0.0,57.0,39.0,5.0,1.0
67482,0.0,0.0,11.0,0.0,0.0,0.0
67545,0.0,0.0,46.0,15.0,14.0,0.0
67546,0.0,0.0,443.0,320.0,280.0,10.0
67557,0.0,0.0,100.0,54.0,67.0,17.0
67563,0.0,0.0,38.0,77.0,88.0,5.0
67564,0.0,0.0,61.0,19.0,24.0,11.0
67565,12.0,0.0,76.0,77.0,95.0,0.0
67574,0.0,0.0,58.0,16.0,15.0,0.0
67626,0.0,0.0,43.0,23.0,8.0,0.0
67846,10.0,0.0,3671.0,2283.0,3781.0,544.0
67523,0.0,0.0,86.0,62.0,58.0,0.0
67543,0.0,0.0,282.0,272.0,231.0,57.0
67556,0.0,0.0,79.0,26.0,30.0,0.0
67567,0.0,0.0,94.0,52.0,34.0,2.0
67576,0.0,0.0,307.0,287.0,297.0,13.0
67601,0.0,0.0,2741.0,3565.0,2018.0,9.0
67635,0.0,0.0,33.0,14.0,3.0,19.0
67649,3.0,0.0,54.0,37.0,15.0,8.0
67654,0.0,0.0,740.0,414.0,283.0,0.0
67659,0.0,0.0,60.0,0.0,13.0,0.0
67660,0.0,0.0,11.0,9.0,0.0,0.0
67661,0.0,0.0,723.0,298.0,430.0,16.0
67665,12.0,0.0,881.0,451.0,490.0,22.0
67672,0.0,0.0,470.0,296.0,200.0,5.0
67674,0.0,0.0,15.0,0.0,0.0,0.0
67701,0.0,0.0,1020.0,700.0,695.0,0.0
67739,0.0,0.0,45.0,11.0,13.0,0.0
67764,0.0,0.0,76.0,45.0,100.0,13.0
67801,29.0,0.0,3813.0,2044.0,3387.0,501.0
67834,0.0,0.0,129.0,123.0,143.0,4.0
67841,0.0,0.0,49.0,28.0,22.0,0.0
67140,6.0,0.0,126.0,114.0,140.0,4.0
67144,0.0,0.0,312.0,384.0,470.0,106.0
67361,0.0,0.0,463.0,148.0,142.0,13.0
67410,0.0,0.0,2083.0,1154.0,1152.0,43.0
67417,0.0,0.0,81.0,6.0,2.0,0.0
67425,0.0,0.0,143.0,85.0,129.0,12.0
67438,3.0,0.0,62.0,19.0,92.0,0.0
67456,0.0,0.0,576.0,734.0,504.0,0.0
67470,0.0,0.0,97.0,39.0,56.0,0.0
67480,0.0,0.0,364.0,131.0,229.0,0.0
67520,0.0,0.0,53.0,72.0,50.0,0.0
67547,0.0,0.0,314.0,143.0,187.0,0.0
67550,0.0,0.0,933.0,491.0,426.0,0.0
67422,0.0,0.0,310.0,126.0,189.0,0.0
67554,0.0,0.0,649.0,375.0,316.0,94.0
67573,0.0,0.0,42.0,18.0,12.0,0.0
67628,0.0,0.0,16.0,8.0,9.0,0.0
67629,0.0,0.0,41.0,21.0,9.0,0.0
67632,0.0,0.0,30.0,39.0,26.0,0.0
67634,0.0,0.0,61.0,30.0,41.0,2.0
67638,0.0,0.0,64.0,48.0,60.0,10.0
67642,0.0,0.0,392.0,273.0,172.0,10.0
67646,0.0,0.0,139.0,94.0,67.0,4.0
67653,0.0,0.0,56.0,15.0,11.0,0.0
67656,0.0,0.0,7.0,15.0,0.0,0.0
